icd9_code,short_title,long_title
7224,Cervical disc degen,Degeneration of cervical intervertebral disc
2630,Malnutrition mod degree,Malnutrition of moderate degree
73314,Path fx neck of femur,Pathologic fracture of neck of femur
0415,H. influenzae infect NOS,Hemophilus influenzae [H. influenzae] infection in conditions classified elsewhere and of unspecified site
78842,Polyuria,Polyuria
36210,Backgrnd retinopathy NOS,"Background retinopathy, unspecified"
8245,Fx bimalleolar-open,"Bimalleolar fracture, open"
9046,Inj deep plantar vessel,Injury to deep plantar blood vessels
99649,Mech com orth dev NEC,"Other mechanical complication of other internal orthopedic device, implant, and graft"
7313,Major osseous defects,Major osseous defects
7336,Tietze's disease,Tietze's disease
29562,Schizophr dis resid-chr,"Schizophrenic disorders, residual type, chronic"
9630,Pois-antiallrg/antiemet,Poisoning by antiallergic and antiemetic drugs
85226,Subdural hemorr-coma NOS,"Subdural hemorrhage following injury without mention of open intracranial wound, with loss of consciousness of unspecified duration"
E8227,Oth coll mov obj-pedest,Other motor vehicle nontraffic accident involving collision with moving object injuring pedestrian
7795,NB drug withdrawal syndr,Drug withdrawal syndrome in newborn
52410,Unspcf anm jaw cranl bse,"Anomalies of relationship of jaw to cranial base, unspecified anomaly"
V052,Vaccin for leishmaniasis,Need for prophylactic vaccination and inoculation against leishmaniasis
V5391,Fit/adjust insulin pump,Fitting and adjustment of insulin pump
7810,Abn involun movement NEC,Abnormal involuntary movements
1448,Mal neo mouth floor NEC,Malignant neoplasm of other sites of floor of mouth
30001,Panic dis w/o agorphobia,Panic disorder without agoraphobia
V4973,Status amput foot,Foot amputation status
86101,Heart contusion-closed,Contusion of heart without mention of open wound into thorax
99609,Malfunc card dev/grf NEC,"Other mechanical complication of cardiac device, implant, and graft"
44329,Dissection artery NEC,Dissection of other artery
76079,Nox sub NEC aff NB/fetus,Other noxious influences affecting fetus or newborn via placenta or breast milk
3588,Myoneural disorders NEC,Other specified myoneural disorders
3109,Nonpsychot brain syn NOS,Unspecified nonpsychotic mental disorder following organic brain damage
7934,Nonsp abn find-gi tract,Nonspecific (abnormal) findings on radiological and other examination of gastrointestinal tract
82525,Fx metatarsal-closed,Closed fracture of metatarsal bone(s)
5080,Ac pul manif d/t radiat,Acute pulmonary manifestations due to radiation
78605,Shortness of breath,Shortness of breath
30563,Cocaine abuse-in remiss,"Cocaine abuse, in remission"
20530,Myl sarcoma wo achv rmsn,"Myeloid sarcoma, without mention of having achieved remission"
E8784,Abn react-plast surg NEC,"Other restorative surgery causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation"
20501,Act myl leuk w rmsion,"Acute myeloid leukemia, in remission"
44581,"Atheroembolism, kidney",Atheroembolism of kidney
4421,Renal artery aneurysm,Aneurysm of renal artery
V0482,Vaccination for RSV,Need for prophylactic vaccination and inoculation against respiratory syncytial virus (RSV)
5224,Ac apical periodontitis,Acute apical periodontitis of pulpal origin
3379,Autonomic nerve dis NEC,Unspecified disorder of autonomic nervous system
30928,Adjust dis w anxiety/dep,Adjustment disorder with mixed anxiety and depressed mood
1175,Cryptococcosis,Cryptococcosis
3210,Cryptococcal meningitis,Cryptococcal meningitis
0542,Herpetic gingivostomat,Herpetic gingivostomatitis
3804,Impacted cerumen,Impacted cerumen
1987,Second malig neo adrenal,Secondary malignant neoplasm of adrenal gland
4387,Disturbances of vision,"Late effects of cerebrovascular disease, disturbances of vision"
3682,Diplopia,Diplopia
4374,Cerebral arteritis,Cerebral arteritis
7767,Neonatal neutropenia,Transient neonatal neutropenia
7423,Congenital hydrocephalus,Congenital hydrocephalus
75529,Longitud defic phalanges,"Longitudinal deficiency, phalanges, complete or partial"
75559,Upper limb anomaly NEC,"Other anomalies of upper limb, including shoulder girdle"
42989,Ill-defined hrt dis NEC,Other ill-defined heart diseases
5730,Chr passiv congest liver,Chronic passive congestion of liver
60499,Orchitis/epididymit NEC,"Other orchitis, epididymitis, and epididymo-orchitis, without mention of abscess"
36284,Retinal ischemia,Retinal ischemia
57401,Cholelith/ac gb inf-obst,"Calculus of gallbladder with acute cholecystitis, with obstruction"
4613,Ac sphenoidal sinusitis,Acute sphenoidal sinusitis
38300,Ac mastoiditis w/o compl,Acute mastoiditis without complications
4352,Subclavian steal syndrom,Subclavian steal syndrome
75981,Prader-willi syndrome,Prader-Willi syndrome
59389,Renal & ureteral dis NEC,Other specified disorders of kidney and ureter
8748,Open wound of neck NEC,"Open wound of other and unspecified parts of neck, without mention of complication"
1975,Sec malig neo lg bowel,Secondary malignant neoplasm of large intestine and rectum
E9319,Adv eff antinfct NEC/NOS,Other and unspecified anti-infectives causing adverse effects in therapeutic use
V0991,Infc mcrg drgrst mult,"Infection with drug-resistant microorganisms, unspecified, with multiple drug resistance"
7776,Perinatal intest perfor,Perinatal intestinal perforation
74900,Cleft palate NOS,"Cleft palate, unspecified"
74429,Ear anomalies NEC,Other specified anomalies of ear
75539,Longitud defic phalanges,"Longitudinal deficiency, phalanges, complete or partial"
75010,Tongue anomaly NOS,"Congenital anomaly of tongue, unspecified"
73600,Forearm deformity NOS,"Unspecified deformity of forearm, excluding fingers"
E9222,Hunting rifle accident,Accident caused by hunting rifle
E9420,Adv eff card rhyth regul,Cardiac rhythm regulators causing adverse effects in therapeutic use
0478,Viral meningitis NEC,Other specified viral meningitis
0498,Viral encephalitis NEC,Other specified non-arthropod-borne viral diseases of central nervous system
30461,Drug depend NEC-contin,"Other specified drug dependence, continuous"
5651,Anal fistula,Anal fistula
56989,Intestinal disorders NEC,Other specified disorders of intestine
80026,Cl skull vlt fx-coma NOS,"Closed fracture of vault of skull with subarachnoid, subdural, and extradural hemorrhage, with loss of consciousness of unspecified duration"
2883,Eosinophilia,Eosinophilia
29690,Episodic mood disord NOS,Unspecified episodic mood disorder
71536,Loc osteoarth NOS-l/leg,"Osteoarthrosis, localized, not specified whether primary or secondary, lower leg"
77212,"NB intraven hem,grade ii","Intraventricular hemorrhage, grade II"
7754,Hypocalcem/hypomagnes NB,Hypocalcemia and hypomagnesemia of newborn
E8156,Mv coll w obj-ped cycl,Other motor vehicle traffic accident involving collision on the highway injuring pedal cyclist
86409,Liver injury NEC-closed,Other injury to liver without mention of open wound into cavity
E8130,Mv-oth veh coll-driver,Motor vehicle traffic accident involving collision with other vehicle injuring driver of motor vehicle other than motorcycle
84500,Sprain of ankle NOS,"Sprain of ankle, unspecified site"
7683,Fetal distrs dur lab/del,"Fetal distress first noted during labor and delivery, in liveborn infant"
92820,Crushing injury foot,Crushing injury of foot
92810,Crushing inj lower leg,Crushing injury of lower leg
9588,Early complic trauma NEC,Other early complications of trauma
4416,Thoracoabd aneurysm rupt,"Thoracoabdominal aneurysm, ruptured"
78550,Shock NOS,"Shock, unspecified"
1974,Sec malig neo sm bowel,Secondary malignant neoplasm of small intestine including duodenum
88102,Open wound of wrist,"Open wound of wrist, without mention of complication"
36563,Glaucoma w vascular dis,Glaucoma associated with vascular disorders
5967,Bladder wall hemorrhage,Hemorrhage into bladder wall
5934,Ureteric obstruction NEC,Other ureteric obstruction
78606,Tachypnea,Tachypnea
2375,Unc beh neo brain/spinal,Neoplasm of uncertain behavior of brain and spinal cord
32341,Ot encph/mye ot inf else,Other encephalitis and encephalomyelitis due to other infections classified elsewhere
69589,Erythematous cond NEC,Other specified erythematous conditions
85144,Cerebel contus-prol coma,"Cerebellar or brain stem contusion without mention of open intracranial wound, with prolonged [more than 24 hours] loss consciousness and return to pre-existing conscious level"
82521,Fx astragalus-closed,Closed fracture of astragalus
08882,Babesiosis,Babesiosis
20200,Ndlr lym unsp xtrndl org,"Nodular lymphoma, unspecified site, extranodal and solid organ sites"
33720,Unsp rflx sympth dystrph,"Reflex sympathetic dystrophy, unspecified"
7513,Hirschsprung's disease,Hirschsprung's disease and other congenital functional disorders of colon
V4963,Status amput hand,Hand amputation status
53370,Chronic peptic ulcer NOS,"Chronic peptic ulcer of unspecified site without mention of hemorrhage or perforation, without mention of obstruction"
27739,Amyloidosis NEC,Other amyloidosis
3689,Visual disturbance NOS,Unspecified visual disturbance
1808,Malig neo cervix NEC,Malignant neoplasm of other specified sites of cervix
61801,"Cystocele, midline","Cystocele, midline"
48239,Pneumonia oth strep,Pneumonia due to other Streptococcus
V1021,Hx-laryngeal malignancy,Personal history of malignant neoplasm of larynx
3009,Nonpsychotic disord NOS,Unspecified nonpsychotic mental disorder
30183,Borderline personality,Borderline personality disorder
42653,Bilat bb block NEC,Other bilateral bundle branch block
5550,"Reg enteritis, sm intest",Regional enteritis of small intestine
5400,Ac append w peritonitis,Acute appendicitis with generalized peritonitis
57461,Gall&bil cal w/ac w obs,"Calculus of gallbladder and bile duct with acute cholecystitis, with obstruction"
5764,Fistula of bile duct,Fistula of bile duct
30553,Opioid abuse-in remiss,"Opioid abuse, in remission"
8244,Fx bimalleolar-closed,"Bimalleolar fracture, closed"
7092,Scar & fibrosis of skin,Scar conditions and fibrosis of skin
8027,Fx orbital floor-open,Open fracture of orbital floor (blow-out)
8025,Fx malar/maxillary-open,Open fracture of malar and maxillary bones
52510,Acq absence of teeth NOS,"Acquired absence of teeth, unspecified"
2733,Macroglobulinemia,Macroglobulinemia
2863,Cong def clot factor NEC,Congenital deficiency of other clotting factors
76404,Lt-for-dates 1000-1249g,"""Light-for-dates"" without mention of fetal malnutrition, 1,000- 1,249 grams"
72989,Muscskel sympt limb NEC,Other musculoskeletal symptoms referable to limbs
5131,Abscess of mediastinum,Abscess of mediastinum
47824,Retropharyngeal abscess,Retropharyngeal abscess
7703,NB pulmonary hemorrhage,Pulmonary hemorrhage
9160,Abrasion hip & leg,"Abrasion or friction burn of hip, thigh, leg, and ankle, without mention of infection"
7948,Abn liver function study,Nonspecific abnormal results of function study of liver
1963,Mal neo lymph-axilla/arm,Secondary and unspecified malignant neoplasm of lymph nodes of axilla and upper limb
1748,Malign neopl breast NEC,Malignant neoplasm of other specified sites of female breast
1749,Malign neopl breast NOS,"Malignant neoplasm of breast (female), unspecified"
V4585,Insulin pump status,Insulin pump status
5181,Interstitial emphysema,Interstitial emphysema
25081,DMI oth nt st uncntrld,"Diabetes with other specified manifestations, type I [juvenile type], not stated as uncontrolled"
V6284,Suicidal ideation,Suicidal ideation
8920,Open wound of foot,"Open wound of foot except toe(s) alone, without mention of complication"
44324,Dissect vertebral artery,Dissection of vertebral artery
57510,Cholecystitis NOS,"Cholecystitis, unspecified"
7635,Mat anesth/analg aff NB,Maternal anesthesia and analgesia affecting fetus or newborn
0499,Viral encephalitis NOS,Unspecified non-arthropod-borne viral diseases of central nervous system
81351,Colles' fracture-open,Open Colles' fracture
81601,"Fx mid/prx phal, hand-cl",Closed fracture of middle or proximal phalanx or phalanges of hand
72610,Rotator cuff synd NOS,"Disorders of bursae and tendons in shoulder region, unspecified"
86339,Small intest inj NEC-opn,"Other injury to small intestine, with open wound into cavity"
E9229,Firearm accident NOS,Accident caused by unspecified firearm missile
99590,"SIRS, NOS","Systemic inflammatory response syndrome, unspecified"
7483,Laryngotrach anomaly NEC,"Other anomalies of larynx, trachea, and bronchus"
2512,Hypoglycemia NOS,"Hypoglycemia, unspecified"
75501,"Polydactyly, fingers",Polydactyly of fingers
37739,Optic neuritis NEC,Other optic neuritis
5401,Abscess of appendix,Acute appendicitis with peritoneal abscess
44284,Visceral aneurysm NEC,Aneurysm of other visceral artery
56984,Angio intes w/o hmrhg,Angiodysplasia of intestine (without mention of hemorrhage)
E8704,Acc cut/hem w scope exam,"Accidental cut, puncture, perforation or hemorrhage during endoscopic examination"
587,Renal sclerosis NOS,"Renal sclerosis, unspecified"
27503,Hemochromatosis NEC,Other hemochromatosis
2777,Dysmetabolic syndrome x,Dysmetabolic syndrome X
38910,Sensorneur hear loss NOS,"Sensorineural hearing loss, unspecified"
43830,Late ef-mplga up lmb NOS,"Late effects of cerebrovascular disease, monoplegia of upper limb affecting unspecified side"
E9479,Adv eff medicinal NOS,Unspecified drug or medicinal substance causing adverse effects in therapeutic use
86350,Colon injury NOS-open,"Injury to colon, unspecified site, with open wound into cavity"
86239,Intrathorac inj NEC-open,Injury to other specified intrathoracic organs with open wound into cavity
34510,Gen cnv epil w/o intr ep,"Generalized convulsive epilepsy, without mention of intractable epilepsy"
1980,Second malig neo kidney,Secondary malignant neoplasm of kidney
1729,Malig melanoma skin NOS,"Melanoma of skin, site unspecified"
75310,Cystic kidney diseas NOS,"Cystic kidney disease, unspecified"
4408,Atherosclerosis NEC,Atherosclerosis of other specified arteries
43853,Lt ef oth parals-bilat,"Late effects of cerebrovascular disease, other paralytic syndrome, bilateral"
3449,Paralysis NOS,"Paralysis, unspecified"
9047,Injury leg vessels NEC,Injury to other specified blood vessels of lower extremity
1373,Late eff bone & joint TB,Late effects of tuberculosis of bones and joints
5275,Sialolithiasis,Sialolithiasis
56941,Rectal & anal ulcer,Ulcer of anus and rectum
9679,Pois-sedative/hypnot NOS,Poisoning by unspecified sedative or hypnotic
E8529,Acc poison-sedatives NOS,Accidental poisoning by unspecified sedative or hypnotic
25072,DMII circ uncntrld,"Diabetes with peripheral circulatory disorders, type II or unspecified type, uncontrolled"
3371,Aut neuropthy in oth dis,Peripheral autonomic neuropathy in disorders classified elsewhere
0419,Bacterial infection NOS,"Bacterial infection, unspecified, in conditions classified elsewhere and of unspecified site"
7712,Congenital infec NEC,Other congenital infections specific to the perinatal period
42761,Atrial premature beats,Supraventricular premature beats
41412,Dissection cor artery,Dissection of coronary artery
75502,"Polydactyly, toes",Polydactyly of toes
5206,Tooth eruption disturb,Disturbances in tooth eruption
1609,Mal neo access sinus NOS,"Malignant neoplasm of accessory sinus, unspecified"
77982,Neonatal tachycardia,Neonatal tachycardia
7083,Dermatographic urticaria,Dermatographic urticaria
75982,Marfan syndrome,Marfan syndrome
20150,Ndr sclr unsp xtrndl org,"Hodgkin's disease, nodular sclerosis, unspecified site, extranodal and solid organ sites"
47833,Vocal paral bilat part,"Bilateral paralysis of vocal cords or larynx, partial"
72981,Swelling of limb,Swelling of limb
6989,Pruritic disorder NOS,Unspecified pruritic disorder
6111,Hypertrophy of breast,Hypertrophy of breast
20152,Hodg nodul sclero thorax,"Hodgkin's disease, nodular sclerosis, intrathoracic lymph nodes"
37034,Expsure keratoconjunctiv,Exposure keratoconjunctivitis
37611,Orbital granuloma,Orbital granuloma
37612,Orbital myositis,Orbital myositis
8676,Pelvic organ inj NEC-cl,"Injury to other specified pelvic organs, without mention of open wound into cavity"
71534,Loc osteoarth NOS-hand,"Osteoarthrosis, localized, not specified whether primary or secondary, hand"
7295,Pain in limb,Pain in limb
3090,Adjustmnt dis w depressn,Adjustment disorder with depressed mood
4295,Chordae tendinae rupture,Rupture of chordae tendineae
82100,Fx femur NOS-closed,Closed fracture of unspecified part of femur
1918,Malig neo brain NEC,Malignant neoplasm of other parts of brain
1768,Spf sts - kpsi's sarcoma,"Kaposi's sarcoma, other specified sites"
60783,Edema of penis,Edema of penis
60886,"Edema, male genital orgn",Edema of male genital organs
30122,Schizotypal person dis,Schizotypal personality disorder
9950,Other anaphylactic react,Other anaphylactic reaction
E9343,Adv eff vitamin k,Vitamin k [phytonadione] causing adverse effects in therapeutic use
99529,Adv eff med/biol NEC/NOS,"Unspecified adverse effect of other drug, medicinal and biological substance"
07071,Hpt C w hepatic coma NOS,Unspecified viral hepatitis C with hepatic coma
30120,Schizoid personality NOS,"Schizoid personality disorder, unspecified"
7827,Spontaneous ecchymoses,Spontaneous ecchymoses
6253,Dysmenorrhea,Dysmenorrhea
25052,DMII ophth uncntrld,"Diabetes with ophthalmic manifestations, type II or unspecified type, uncontrolled"
36202,Prolif diab retinopathy,Proliferative diabetic retinopathy
7919,Abn urine findings NEC,Other nonspecific findings on examination of urine
V8543,"BMI 50.0-59.9, adult","Body Mass Index 50.0-59.9, adult"
V4987,Physical restrain status,Physical restraints status
85209,Subarach hem-concussion,"Subarachnoid hemorrhage following injury without mention of open intracranial wound, with concussion, unspecified"
2532,Panhypopituitarism,Panhypopituitarism
3368,Myelopathy NEC,Other myelopathy
2555,Adrenal hypofunction NEC,Other adrenal hypofunction
V1309,Prsn hst ot spf urn dsrd,Personal history of other specified urinary system disorders
72886,Necrotizing fasciitis,Necrotizing fasciitis
71106,Pyogen arthritis-l/leg,"Pyogenic arthritis, lower leg"
5647,Megacolon NEC,"Megacolon, other than Hirschsprung's"
1105,Dermatophytosis of body,Dermatophytosis of the body
86381,"Pancreas, head inj-close","Injury to pancreas, head, without mention of open wound into cavity"
86321,Duodenum injury-closed,"Injury to duodenum, without open wound into cavity"
E9068,Inj NEC caused by animal,Other specified injury caused by animal
7511,Atresia small intestine,Atresia and stenosis of small intestine
V714,Observ-accident NEC,Observation following other accident
E9588,Injury-NEC,Suicide and self-inflicted injury by other specified means
4733,Chr sphenoidal sinusitis,Chronic sphenoidal sinusitis
1109,Dermatophytosis site NOS,Dermatophytosis of unspecified site
E9300,Adv eff penicillins,Penicillins causing adverse effects in therapeutic use
56489,Funct dis intestine NEC,Other functional disorders of intestine
V554,Atten to enterostomy NEC,Attention to other artificial opening of digestive tract
7891,Hepatomegaly,Hepatomegaly
2788,Other hyperalimentation,Other hyperalimentation
0796,Resprtry syncytial virus,Respiratory syncytial virus (RSV)
3942,Mitral stenosis w insuff,Mitral stenosis with insufficiency
43490,Crbl art oc NOS wo infrc,"Cerebral artery occlusion, unspecified without mention of cerebral infarction"
27951,Ac graft-versus-host dis,Acute graft-versus-host disease
78061,Fever in other diseases,Fever presenting with conditions classified elsewhere
V4575,Acq absence of stomach,"Acquired absence of organ, stomach"
07041,Hpt C acute w hepat Coma,Acute hepatitis C with hepatic coma
1540,Mal neo rectosigmoid jct,Malignant neoplasm of rectosigmoid junction
7249,Back disorder NOS,Other unspecified back disorders
45189,Thrombophlebitis NEC,Phlebitis and thrombophlebitis of other sites
9729,Pois-cardiovasc agt NEC,Poisoning by other and unspecified agents primarily affecting the cardiovascular system
E8583,Acc poisn-cardiovasc agt,Accidental poisoning by agents primarily affecting cardiovascular system
42769,Premature beats NEC,Other premature beats
V171,Family hx-stroke,Family history of stroke (cerebrovascular)
79093,Elvtd prstate spcf antgn,Elevated prostate specific antigen [PSA]
81383,Fx radius w ulna NOS-cl,Closed fracture of unspecified part of radius with ulna
2381,Unc behav neo soft tissu,Neoplasm of uncertain behavior of connective and other soft tissue
75323,Congenital ureterocele,Congenital ureterocele
73341,Aseptic necrosis humerus,Aseptic necrosis of head of humerus
3331,Tremor NEC,Essential and other specified forms of tremor
99652,Oth tissue graft malfunc,"Mechanical complication due to graft of other tissue, not elsewhere classified"
8832,Open wnd finger w tendon,"Open wound of finger(s), with tendon involvement"
92720,Crushing injury of hand,Crushing injury of hand(s)
92721,Crushing injury of wrist,Crushing injury of wrist
V4962,Status amput oth fingers,Other finger(s) amputation status
5710,Alcoholic fatty liver,Alcoholic fatty liver
1891,Malig neo renal pelvis,Malignant neoplasm of renal pelvis
59382,Ureteral fistula,Ureteral fistula
3577,Neurpthy toxic agent NEC,Polyneuropathy due to other toxic agents
E9315,Adv eff antprotazoal NEC,Other antiprotozoal drugs causing adverse effects in therapeutic use
2125,Benign neo mediastinum,Benign neoplasm of mediastinum
V434,Blood vessel replac NEC,Blood vessel replaced by other means
43822,Late ef-hemiplga non-dom,"Late effects of cerebrovascular disease, hemiplegia affecting nondominant side"
0074,Cryptosporidiosis,Cryptosporidiosis
53541,Oth spf gastrt w hmrhg,"Other specified gastritis, with hemorrhage"
5695,Intestinal abscess,Abscess of intestine
5819,Nephrotic syndrome NOS,Nephrotic syndrome with unspecified pathological lesion in kidney
30403,Opioid dependence-remiss,"Opioid type dependence, in remission"
2121,Benign neo larynx,Benign neoplasm of larynx
29580,Schizophrenia NEC-unspec,"Other specified types of schizophrenia, unspecified"
25022,DMII hprosmlr uncontrold,"Diabetes with hyperosmolarity, type II or unspecified type, uncontrolled"
V1043,Hx of ovarian malignancy,Personal history of malignant neoplasm of ovary
80132,Cl skul base fx-brf coma,"Closed fracture of base of skull with other and unspecified intracranial hemorrhage, with brief [less than one hour] loss of consciousness"
74920,Cleft palate & lip NOS,"Cleft palate with cleft lip, unspecified"
20260,Mlg mast unsp xtrndl org,"Malignant mast cell tumors, unspecified site, extranodal and solid organ sites"
2410,Nontox uninodular goiter,Nontoxic uninodular goiter
V202,Routin child health exam,Routine infant or child health check
49300,Extrinsic asthma NOS,"Extrinsic asthma, unspecified"
7089,Urticaria NOS,"Urticaria, unspecified"
78607,Wheezing,Wheezing
7080,Allergic urticaria,Allergic urticaria
2722,Mixed hyperlipidemia,Mixed hyperlipidemia
81318,Fx up radius w ulna-open,"Open fracture of radius with ulna, upper end (any part)"
9713,Poisoning-sympatholytics,Poisoning by sympatholytics [antiadrenergics]
E8556,Acc poisn-sympatholytics,Accidental poisoning by sympatholytics [antiadrenergics]
20020,Brkt tmr unsp xtrndl org,"Burkitt's tumor or lymphoma, unspecified site, extranodal and solid organ sites"
5848,Acute kidney failure NEC,Acute kidney failure with other specified pathological lesion in kidney
53290,Duodenal ulcer NOS,"Duodenal ulcer, unspecified as acute or chronic, without hemorrhage or perforation, without mention of obstruction"
1409,Mal neo lip/vermil NOS,"Malignant neoplasm of lip, unspecified, vermilion border"
64271,Tox w old hyperten-deliv,"Pre-eclampsia or eclampsia superimposed on pre-existing hypertension, delivered, with or without mention of antepartum condition"
64862,CV dis NEC-deliver w p/p,"Other cardiovascular diseases of mother, delivered, with mention of postpartum complication"
64421,Early onset delivery-del,"Early onset of delivery, delivered, with or without mention of antepartum condition"
65421,Prev c-delivery-delivrd,"Previous cesarean delivery, delivered, with or without mention of antepartum condition"
64891,Oth curr cond-delivered,"Other current conditions classifiable elsewhere of mother, delivered, with or without mention of antepartum condition"
V270,Deliver-single liveborn,"Outcome of delivery, single liveborn"
V252,Sterilization,Sterilization
5561,Ulcerative ileocolitis,Ulcerative (chronic) ileocolitis
56039,Impaction intestine NEC,Other impaction of intestine
76512,Preterm NEC 500-749g,"Other preterm infants, 500-749 grams"
8672,Ureter injury-closed,"Injury to ureter, without mention of open wound into cavity"
30151,Chr factitious illness,Chronic factitious illness with physical symptoms
95205,C5-c7 spin cord inj NOS,C5-C7 level with unspecified spinal cord injury
85240,Traumatic extradural hem,"Extradural hemorrhage following injury without mention of open intracranial wound, unspecified state of consciousness"
E8193,Traff acc NOS-mcycl psgr,Motor vehicle traffic accident of unspecified nature injuring passenger on motorcycle
35989,Myopathies NEC,Other myopathies
85205,Subarach hem-deep coma,"Subarachnoid hemorrhage following injury without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level"
1888,Malig neo bladder NEC,Malignant neoplasm of other specified sites of bladder
V4574,Acq absence urinary trct,"Acquired absence of organ, other parts of urinary tract"
V435,Bladder replacement NEC,Bladder replaced by other means
3540,Carpal tunnel syndrome,Carpal tunnel syndrome
47832,Vocal paral unilat total,"Unilateral paralysis of vocal cords or larynx, complete"
30924,Adjustment dis w anxiety,Adjustment disorder with anxiety
7462,Ebstein's anomaly,Ebstein's anomaly
7461,Cong tricusp atres/sten,"Tricuspid atresia and stenosis, congenital"
7463,Cong aorta valv stenosis,Congenital stenosis of aortic valve
2441,Postablat hypothyr NEC,Other postablative hypothyroidism
193,Malign neopl thyroid,Malignant neoplasm of thyroid gland
78441,Aphonia,Aphonia
7942,Abn pulmonary func study,Nonspecific abnormal results of pulmonary function study
9340,Foreign body in trachea,Foreign body in trachea
1981,Sec malig neo urin NEC,Secondary malignant neoplasm of other urinary organs
19882,Second malig neo genital,Secondary malignant neoplasm of genital organs
8251,Fracture calcaneus-open,"Fracture of calcaneus, open"
80843,Pelv fx-clos/pelv disrup,Multiple closed pelvic fractures with disruption of pelvic circle
85011,Concus-brief coma <31 mn,"Concussion, with loss of consciousness of 30 minutes or less"
83905,Disloc 5th cerv vert-cl,"Closed dislocation, fifth cervical vertebra"
8250,Fracture calcaneus-close,"Fracture of calcaneus, closed"
7280,Infective myositis,Infective myositis
V8381,Cystic fibrosis gene car,Cystic fibrosis gene carrier
73023,Osteomyelit NOS-forearm,"Unspecified osteomyelitis, forearm"
7670,Cerebral hem at birth,Subdural and cerebral hemorrhage
1532,Mal neo descend colon,Malignant neoplasm of descending colon
V555,Atten to cystostomy,Attention to cystostomy
3182,Profnd intellct disablty,Profound intellectual disabilities
71907,Joint effusion-ankle,"Effusion of joint, ankle and foot"
87365,Open wound of palate,"Open wound of palate, without mention of complication"
E8706,Acc cut/hem w heart cath,"Accidental cut, puncture, perforation or hemorrhage during heart catheterization"
1390,Late eff viral encephal,Late effects of viral encephalitis
40290,Hyp hrt dis NOS w/o hf,Unspecified hypertensive heart disease without heart failure
E9348,Adv eff blood agent NEC,Other agents affecting blood constituents causing adverse effects in therapeutic use
7560,Anomal skull/face bones,Anomalies of skull and face bones
V195,Fam hx-congen anomalies,Family history of congenital anomalies
7612,Oligohydramnios aff NB,Oligohydramnios affecting fetus or newborn
76495,Fet grwth ret 1250-1499g,"Fetal growth retardation, unspecified, 1,250-1,499 grams"
V068,Vac-dis combinations NEC,Need for prophylactic vaccination and inoculation against other combinations of diseases
81209,Fx upper humerus NEC-cl,Other closed fracture of upper end of humerus
7537,Anomalies of urachus,Anomalies of urachus
75679,Congn anoml abd wall NEC,Other congenital anomalies of abdominal wall
5950,Acute cystitis,Acute cystitis
V5841,Encntr plnd po wnd clsr,Encounter for planned post-operative wound closure
1104,Dermatophytosis of foot,Dermatophytosis of foot
78096,Generalized pain,Generalized pain
6010,Acute prostatitis,Acute prostatitis
76403,Lt-for-dates 750-999g,"""Light-for-dates"" without mention of fetal malnutrition, 750-999 grams"
E9384,Adv eff gen anes NEC/NOS,Other and unspecified general anesthetics causing adverse effects in therapeutic use
57481,Gal&bil cal w/ac&ch w ob,"Calculus of gallbladder and bile duct with acute and chronic cholecystitis, with obstruction"
8260,"Fx phalanx, foot-closed",Closed fracture of one or more phalanges of foot
6944,Pemphigus,Pemphigus
7868,Hiccough,Hiccough
6262,Excessive menstruation,Excessive or frequent menstruation
45382,Ac DVT/embl up ext,Acute venous embolism and thrombosis of deep veins of upper extremity
45372,Ch DVT/embl up ext,Chronic venous embolism and thrombosis of deep veins of upper extremity
49122,Obs chr bronc w ac bronc,Obstructive chronic bronchitis with acute bronchitis
71943,Joint pain-forearm,"Pain in joint, forearm"
29574,Schizoafftv dis-chr/exac,"Schizoaffective disorder, chronic with acute exacerbation"
1518,Malig neopl stomach NEC,Malignant neoplasm of other specified sites of stomach
3014,Obsessive-compulsive dis,Obsessive-compulsive personality disorder
6954,Lupus erythematosus,Lupus erythematosus
35789,Inflam/tox neuropthy NEC,Other inflammatory and toxic neuropathy
3589,Myoneural disorders NOS,"Myoneural disorders, unspecified"
5563,Ulcertve prctosigmoidtis,Ulcerative (chronic) proctosigmoiditis
7102,Sicca syndrome,Sicca syndrome
E8146,Mv coll w ped-ped cycl,Motor vehicle traffic accident involving collision with pedestrian injuring pedal cyclist
29640,Bipol I currnt manic NOS,"Bipolar I disorder, most recent episode (or current) manic, unspecified"
25030,DMII o cm nt st uncntrld,"Diabetes with other coma, type II or unspecified type, not stated as uncontrolled"
2459,Thyroiditis NOS,"Thyroiditis, unspecified"
46611,Acu broncholitis d/t RSV,Acute bronchiolitis due to respiratory syncytial virus (RSV)
34292,Unsp hmiplga nondmnt sde,"Hemiplegia, unspecified, affecting nondominant side"
3330,Degen basal ganglia NEC,Other degenerative diseases of the basal ganglia
30302,Ac alcohol intox-episod,"Acute alcoholic intoxication in alcoholism, episodic"
30521,Cannabis abuse-contin,"Cannabis abuse, continuous"
9190,Abrasion NEC,"Abrasion or friction burn of other, multiple, and unspecified sites, without mention of infection"
44629,Hypersensit angiitis NEC,Other specified hypersensitivity angiitis
5258,Dental disorder NEC,Other specified disorders of the teeth and supporting structures
